#TimeStamp(inmicroSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
7524;4;0.001972;0.192690;0.429929;0.082253;0.004472;0.001825;0.024006;0.194870;0.000000;98.728256;0.003634;0.069783;0.022450;0.090659;0.011811;0.000000;0.000035;0.008122;0.387865;0.010465;0.016291;0.015987;0.008452;0.008872;0.003242;0.006719;0.003263;0.000000;0.000174;0.000002;-0.865229;-1.016084;0.240097;0
7586;4;0.001972;0.192693;0.429192;0.081615;0.004474;0.001825;0.024010;0.194798;0.000000;98.756866;0.004273;0.064633;0.013094;0.076412;0.009661;0.000000;0.000042;0.009537;0.380945;0.009884;0.014101;0.014207;0.010691;0.009745;0.002948;0.008008;0.003524;0.000000;0.000180;0.000002;-1.018257;-1.089217;0.124864;0
7650;4;0.001973;0.192692;0.429289;0.081718;0.004482;0.001825;0.024012;0.194553;0.000000;98.642273;0.004083;0.059436;0.010964;0.087939;0.008271;0.000000;0.000038;0.009096;0.331451;0.009692;0.014393;0.017862;0.008528;0.009932;0.003168;0.007539;0.003055;0.000000;0.000173;0.000002;-0.141969;-0.502107;-0.571563;0
7711;4;0.001972;0.192690;0.429233;0.081681;0.004481;0.001825;0.024007;0.194609;0.000000;98.542992;0.003536;0.061997;0.007195;0.073360;0.006967;0.000000;0.000061;0.009926;0.337348;0.009750;0.014247;0.026631;0.008595;0.010073;0.002784;0.007302;0.002625;0.000000;0.000168;0.000002;0.589867;-0.797694;-0.929471;0
7773;4;0.001972;0.192690;0.428647;0.081200;0.004475;0.001825;0.024005;0.194763;0.000000;98.593102;0.003698;0.062325;0.006111;0.074527;0.008291;0.000000;0.000074;0.010100;0.375722;0.008977;0.013889;0.030432;0.009005;0.009528;0.002831;0.007883;0.002330;0.000000;0.000173;0.000002;-2.041453;-1.294863;-0.751920;0
7836;4;0.001972;0.192691;0.428295;0.080940;0.004480;0.001825;0.023997;0.194637;0.000000;98.551163;0.003889;0.060816;0.005184;0.065915;0.009610;0.000000;0.000094;0.009156;0.348425;0.008124;0.012173;0.047757;0.008317;0.011578;0.003511;0.007893;0.001697;0.000000;0.000155;0.000002;-1.009199;-0.790259;-0.900922;0
7914;4;0.001972;0.192692;0.427940;0.080625;0.004470;0.001825;0.023999;0.194912;0.000000;98.715668;0.004240;0.064373;0.005163;0.074592;0.008387;0.000000;0.000116;0.008416;0.410445;0.007996;0.011842;0.032560;0.007391;0.009815;0.003366;0.009173;0.002026;0.000000;0.000155;0.000002;-0.497766;-1.765989;-0.289947;0
7976;4;0.001972;0.192689;0.427666;0.080414;0.004464;0.001825;0.023997;0.195131;0.000000;98.596016;0.003608;0.071189;0.003671;0.085634;0.009725;0.000000;0.000198;0.009314;0.446700;0.007049;0.012254;0.027021;0.009293;0.011162;0.004010;0.009351;0.001881;0.000000;0.000143;0.000002;-1.354108;-1.403409;-0.741434;0
8039;4;0.001973;0.192690;0.427658;0.080430;0.004467;0.001825;0.023995;0.195038;0.000000;98.741173;0.003776;0.070712;0.003882;0.097024;0.014678;0.000000;0.000259;0.008911;0.425296;0.007514;0.010739;0.029867;0.010756;0.011156;0.005389;0.008968;0.002011;0.000000;0.000150;0.000002;-2.053371;-1.547095;0.188365;0
8117;4;0.001972;0.192689;0.427548;0.080348;0.004460;0.001824;0.023984;0.195319;0.000000;98.744942;0.003362;0.088773;0.004297;0.111921;0.013086;0.000000;0.000333;0.008442;0.451541;0.007341;0.010732;0.023907;0.012913;0.010539;0.006837;0.009046;0.002489;0.000000;0.000159;0.000002;-0.820251;-1.643939;0.173226;0
